date	MPER4100_27176	MPER4101_27177	MPER4201_27178	MPER4301_13442	MPER4400_13676	MPER4402_27179	MPER4403_24838	MPER4408_22206
1707240824	16	30	20	10	20	20	10	10
1707240905	16	30	20	10	20	20	10	10
1707240930	16	30	20	10	20	20	10	10
1707240941	16	30	20	10	20	20	10	10
1707241000	16	30	20	10	20	20	10	10
1707241012	16	30	20	10	20	20	10	10
1707241023	16	30	20	10	20	20	10	10
1707241039	14	29	20	10	18	20	10	10
1707241047	14	29	20	10	18	20	10	10
1707241055	14	29	20	10	18	20	10	10
1707241129	11	27	20	10	17	20	10	9
1707241147	8	27	20	8	17	19	10	9
1707241221	6	26	19	8	16	16	10	8
1707241307	6	25	19	8	16	16	10	8
1707241415	1	23	15	8	15	13	10	6
1707241512	0	20	13	7	15	9	10	4
1707241556	0	19	13	7	15	8	10	4
1707241623	0	19	13	7	15	7	10	4
1707241717	0	19	12	7	15	7	10	3
1707241814	1	18	12	7	15	7	10	3
1707241848	0	17	12	6	15	7	10	3
1707242034	0	17	12	6	15	6	10	2
1707242132	0	17	12	6	15	6	10	2
1707242210	0	17	12	6	15	6	10	2
1707242307	0	17	12	5	15	6	10	2
1707242329	0	17	12	5	15	6	10	2
1707242343	0	17	12	5	15	6	10	2
1707250748	0	16	12	5	15	6	10	2
1707251027	0	15	12	4	14	6	10	1
1707251309	-1	11	12	4	14	5	10	1
1707251351	-1	11	12	4	14	5	10	1
1707251441	-1	11	12	4	14	5	10	1
1707251521	-1	10	12	4	13	5	10	1
1707251605	-1	10	12	3	13	5	10	1
1707251658	-1	10	12	3	13	5	10	0
1707251727	-1	10	12	3	13	5	10	0
1707251900	-1	10	12	3	13	5	10	0
1707251927	-1	10	12	3	13	5	10	0
1707252025	-1	10	12	3	13	5	10	0
1707252100	-1	11	12	3	13	5	10	0
1707252124	-1	11	12	3	13	5	10	0
1707252143	-1	11	12	3	13	5	10	0
1707252259	-1	11	12	3	13	5	10	0
1707252332	-1	11	12	3	13	5	10	0
1707260820	-1	11	12	3	13	5	10	0
1707261009	-1	11	12	3	13	5	10	0
1707261047	-1	11	12	3	13	5	10	0
1707261116	-1	11	12	3	13	5	10	0
1707261144	-1	11	12	3	13	5	10	0
1707261213	-1	11	12	3	13	5	10	0
1707261257	-1	11	12	3	13	5	10	0
1707261315	-1	11	12	3	13	5	10	0
1707261354	-1	10	12	3	13	5	10	0
1707261538	-1	10	12	3	13	5	10	0
1707261603	-1	10	12	3	13	5	10	0
1707261646	-1	10	12	3	13	5	10	0
1707261709	-1	10	12	3	13	5	10	0
1707261733	-1	10	12	3	13	5	10	0
1707261807	-1	10	12	3	13	5	10	0
1707261822	-1	10	12	3	13	5	10	0
1707261842	-1	10	12	3	13	5	10	0
1707261903	-1	10	12	3	13	5	10	0
1707261944	-1	10	12	3	13	5	10	0
1707262004	-1	10	12	3	13	5	10	0
1707262107	-1	10	12	3	13	5	10	0
1707262125	-1	10	12	3	13	5	10	0
1707262142	-1	10	12	3	13	5	10	0
1707262337	-1	10	12	3	13	5	10	0
1707270001	-1	10	12	3	13	5	10	0
1707270737	-1	10	12	3	13	5	10	0
1707270816	-1	10	12	3	13	5	10	0
1707270840	-1	10	12	3	13	5	10	0
1707270903	-1	10	12	3	13	5	10	0
1707271009	-1	9	12	3	13	5	10	0
1707271027	-1	9	12	3	13	5	10	0
1707271053	0	9	12	3	13	5	10	0
1707271136	0	9	12	3	13	5	10	0
1707271218	0	9	12	2	13	5	10	0
1707271250	0	9	12	2	13	5	10	0
1707271309	0	9	12	2	13	5	10	0
1707271338	0	9	12	2	13	5	10	0
1707271422	0	9	12	2	13	5	10	0
1707271448	0	9	12	2	13	5	10	0
1707271510	0	9	12	2	13	5	10	0
1707271544	0	9	12	2	13	6	10	0
1707271643	0	9	12	2	13	6	10	0
1707271704	0	9	12	2	13	6	10	0
1707271720	0	9	12	2	13	6	10	0
1707271802	0	9	12	2	13	6	10	0
1707272002	0	9	12	2	13	6	10	0
1707272150	0	9	12	2	13	6	10	0
1707272237	0	9	12	2	13	6	10	0
1707281100	0	9	12	2	13	6	10	0
1707281233	0	9	12	2	13	6	10	0
1707281457	0	9	12	2	13	6	10	0
1707281621	0	9	12	2	13	6	10	0
1707281911	0	9	12	2	13	6	10	0
