date	MSIN4005_24848	MSIN4102_27180	MSIN4201_27181	MSIN4202_27182	MSIN4203_24850	MSIN4301_14608	MSIN4302_14609	MSIN4303_16217
1707240824	0	40	40	35	40	30	10	10
1707240905	0	40	40	35	40	30	10	10
1707240930	0	40	40	35	40	30	10	10
1707240941	0	40	40	35	40	30	10	10
1707241000	0	40	40	35	40	30	10	10
1707241012	0	40	40	35	40	30	10	10
1707241023	0	40	40	35	40	30	10	10
1707241039	0	40	40	34	40	30	10	10
1707241047	0	40	40	34	40	30	10	10
1707241055	0	39	40	34	40	30	10	10
1707241129	0	31	39	32	36	30	10	10
1707241147	0	30	38	25	33	27	10	10
1707241221	0	28	38	25	33	27	10	10
1707241307	0	27	38	24	32	27	10	10
1707241415	0	23	38	22	30	26	10	10
1707241512	0	17	37	21	29	25	10	10
1707241556	0	11	37	19	28	25	10	10
1707241623	0	10	37	19	28	25	10	10
1707241717	0	10	38	18	27	25	10	10
1707241814	0	10	38	18	27	25	10	10
1707241848	0	10	38	18	27	25	10	10
1707242034	0	10	38	18	27	25	10	10
1707242132	0	9	38	18	27	25	10	10
1707242210	0	9	38	18	27	25	10	10
1707242307	0	9	38	18	27	25	10	10
1707242329	0	9	38	18	27	25	10	10
1707242343	0	9	38	18	27	25	10	10
1707250748	0	8	38	18	27	25	10	10
1707251027	0	5	38	16	26	25	0	0
1707251309	0	5	38	16	26	25	0	0
1707251351	0	5	38	16	26	25	0	0
1707251441	0	5	38	16	26	23	0	0
1707251521	0	5	38	16	26	23	0	0
1707251605	0	5	38	16	26	22	0	0
1707251658	0	5	38	16	26	21	0	0
1707251727	0	5	38	16	26	19	0	0
1707251900	0	5	38	16	26	12	0	0
1707251927	0	5	38	16	26	12	0	0
1707252025	0	5	38	16	26	12	0	0
1707252100	0	5	38	16	26	12	0	0
1707252124	0	5	38	16	26	12	0	0
1707252143	0	5	38	16	26	12	0	0
1707252259	0	5	38	16	26	12	0	0
1707252332	0	5	38	16	26	12	0	0
1707260820	0	5	38	16	26	12	0	0
1707261009	0	7	36	16	26	12	0	0
1707261047	0	7	36	16	26	12	0	0
1707261116	0	7	36	16	26	12	0	0
1707261144	0	7	36	16	26	12	0	0
1707261213	0	7	36	16	26	12	0	0
1707261257	0	7	36	16	26	12	0	0
1707261315	0	7	36	16	26	12	0	0
1707261354	0	7	36	16	26	12	0	0
1707261538	0	6	35	16	26	12	0	0
1707261603	0	6	35	16	26	12	0	0
1707261646	0	6	35	16	26	12	0	0
1707261709	0	6	35	16	26	12	0	0
1707261733	0	6	35	16	26	12	0	0
1707261807	0	6	35	16	26	12	0	0
1707261822	0	6	35	16	26	12	0	0
1707261842	0	6	35	16	26	12	0	0
1707261903	0	6	35	16	26	12	0	0
1707261944	0	6	35	16	26	12	0	0
1707262004	0	6	35	16	26	12	0	0
1707262107	0	6	35	15	26	12	0	0
1707262125	0	6	34	15	26	12	0	0
1707262142	0	6	34	15	26	12	0	0
1707262337	0	6	34	15	26	12	0	0
1707270001	0	6	34	15	26	12	0	0
1707270737	0	7	34	15	26	12	0	0
1707270816	0	7	34	15	26	12	0	0
1707270840	0	7	34	15	26	12	0	0
1707270903	0	7	34	15	26	12	0	0
1707271009	0	8	35	15	26	12	0	0
1707271027	0	8	35	15	26	12	0	0
1707271053	0	8	35	15	26	12	0	0
1707271136	0	8	35	15	25	12	0	0
1707271218	0	7	35	15	26	12	0	0
1707271250	0	7	35	15	26	12	0	0
1707271309	0	7	35	15	26	12	0	0
1707271338	0	7	35	15	26	12	0	0
1707271422	0	7	35	15	26	12	0	0
1707271448	0	7	35	15	26	12	0	0
1707271510	0	7	35	15	26	12	0	0
1707271544	0	7	0	15	27	12	0	0
1707271643	0	7	0	15	26	12	0	0
1707271704	0	7	0	15	26	12	0	0
1707271720	0	7	0	15	26	12	0	0
1707271802	0	7	0	15	26	12	0	0
1707272002	0	1	0	15	26	12	0	0
1707272150	0	1	0	16	26	12	0	0
1707272237	0	1	0	16	26	12	0	0
1707281100	0	1	0	16	26	12	0	0
1707281233	0	1	0	16	26	12	0	0
1707281457	0	1	0	16	26	12	0	0
1707281621	0	1	0	16	26	12	0	0
1707281911	0	1	0	16	25	11	0	0
