date	MTRI4101_27918	MTRI4201_27184
1707240824	15	15
1707240905	15	15
1707240930	15	15
1707240941	15	15
1707241000	15	15
1707241012	15	15
1707241023	15	15
1707241039	15	15
1707241047	15	15
1707241055	15	15
1707241129	15	15
1707241147	15	15
1707241221	15	15
1707241307	15	15
1707241415	15	15
1707241512	15	15
1707241556	15	15
1707241623	15	15
1707241717	15	15
1707241814	15	15
1707241848	15	15
1707242034	15	15
1707242132	15	15
1707242210	15	15
1707242307	15	15
1707242329	15	15
1707242343	15	15
1707250748	15	15
1707251027	15	15
1707251309	15	15
1707251351	15	15
1707251441	15	15
1707251521	15	15
1707251605	15	15
1707251658	15	15
1707251727	15	15
1707251900	15	15
1707251927	15	15
1707252025	15	15
1707252100	15	15
1707252124	15	15
1707252143	15	15
1707252259	15	15
1707252332	15	15
1707260820	15	15
1707261009	15	15
1707261047	15	15
1707261116	9	9
1707261144	8	8
1707261213	8	8
1707261257	8	8
1707261315	8	8
1707261354	8	8
1707261538	8	8
1707261603	8	8
1707261646	8	8
1707261709	8	8
1707261733	8	8
1707261807	8	8
1707261822	8	8
1707261842	8	8
1707261903	8	8
1707261944	8	8
1707262004	8	8
1707262107	8	8
1707262125	8	8
1707262142	8	8
1707262337	8	8
1707270001	8	8
1707270737	8	8
1707270816	8	8
1707270840	8	8
1707270903	8	8
1707271009	8	8
1707271027	8	8
1707271053	8	8
1707271136	8	8
1707271218	8	8
1707271250	8	8
1707271309	8	8
1707271338	8	8
1707271422	8	8
1707271448	8	8
1707271510	8	8
1707271544	8	8
1707271643	8	8
1707271704	8	8
1707271720	8	8
1707271802	8	8
1707272002	8	8
1707272150	8	8
1707272237	8	8
1707281100	8	8
1707281233	8	8
1707281457	8	8
1707281621	8	8
1707281911	8	8
