date	PERI1001B_27209	PERI1002B_18172	PERI1004B_18173	PERI1006B_13090	PERI1007B_13091	PERI1008A_24875	PERI1009B_13092	PERI1011B_22347	PERI1015A_13892	PERI1016A_13893	PERI1017A_16218	PERI1018B_16219	PERI1019_24876	PERI1020_16221
1707240824	57	42	27	27	76	46	77	77	46	46	46	77	15	15
1707240905	56	40	27	27	74	46	75	77	45	44	45	74	15	15
1707240930	56	40	27	27	73	46	75	77	45	42	46	74	15	15
1707240941	53	39	27	27	73	46	74	77	45	42	45	74	15	15
1707241000	53	39	27	27	73	46	74	77	45	40	45	74	15	15
1707241012	53	39	27	27	73	45	73	77	43	38	45	74	15	15
1707241023	53	39	27	27	73	45	73	77	43	38	45	74	15	15
1707241039	53	39	26	27	72	44	73	77	43	38	45	74	15	15
1707241047	53	39	26	27	72	44	73	77	43	38	45	73	15	15
1707241055	53	39	26	27	72	44	73	77	43	38	45	73	15	15
1707241129	53	39	26	27	72	44	73	77	43	37	45	72	15	15
1707241147	53	39	26	27	72	44	73	77	43	37	45	72	15	15
1707241221	53	40	26	27	72	44	73	77	43	37	45	72	15	15
1707241307	53	40	26	27	72	44	73	77	43	37	45	72	15	15
1707241415	53	40	26	27	72	44	73	77	43	37	45	71	15	15
1707241512	51	37	26	27	67	44	72	76	42	31	45	71	15	15
1707241556	50	37	26	25	64	43	70	76	41	31	43	71	15	15
1707241623	50	37	26	25	63	43	70	76	41	30	43	71	15	15
1707241717	49	36	26	25	64	43	69	76	41	28	43	71	15	15
1707241814	48	35	26	25	64	43	69	76	41	27	43	71	15	15
1707241848	48	35	26	25	64	43	69	76	41	27	43	71	15	15
1707242034	48	35	26	25	64	43	69	76	41	27	43	71	15	15
1707242132	48	35	26	25	64	43	69	76	41	27	43	71	15	15
1707242210	48	35	26	25	64	43	69	76	41	26	43	71	15	15
1707242307	48	35	26	25	64	43	69	76	41	26	43	71	15	15
1707242329	48	35	26	25	64	43	69	76	41	26	42	71	15	15
1707242343	48	35	26	25	64	43	69	76	41	26	42	71	15	15
1707250748	47	34	26	25	62	43	68	75	41	26	42	70	15	15
1707251027	40	29	21	19	49	63	66	72	58	31	60	68	12	13
1707251309	33	26	20	19	38	61	63	71	41	16	57	68	11	13
1707251351	33	26	20	19	38	61	63	71	42	16	57	68	11	13
1707251441	31	26	19	13	26	59	61	70	33	9	53	67	10	12
1707251521	28	23	19	12	14	56	60	68	30	0	53	66	9	12
1707251605	20	23	19	10	4	55	59	68	27	1	49	64	8	11
1707251658	14	16	16	7	0	50	53	65	20	0	37	60	8	11
1707251727	13	16	16	7	0	50	53	65	19	0	37	58	8	11
1707251900	12	16	16	8	0	50	53	65	19	0	37	58	8	11
1707251927	12	16	16	8	0	50	53	65	19	0	36	58	8	11
1707252025	11	16	16	8	0	50	53	65	19	0	36	58	8	11
1707252100	11	16	16	8	0	50	53	65	18	0	36	58	8	11
1707252124	11	16	16	8	0	50	55	65	19	0	36	58	8	11
1707252143	11	16	16	8	0	50	55	65	19	0	36	58	8	11
1707252259	11	16	16	8	0	50	55	65	18	0	36	58	8	11
1707252332	11	16	16	8	0	50	55	65	18	0	36	58	8	11
1707260820	10	15	13	8	0	56	56	65	24	5	40	56	7	11
1707261009	0	10	7	3	0	31	49	58	10	0	18	51	5	11
1707261047	0	9	7	3	0	25	48	57	1	0	9	45	5	11
1707261116	0	6	5	2	0	17	43	54	3	0	0	40	4	11
1707261144	0	4	3	0	0	14	38	53	0	0	0	40	4	11
1707261213	0	4	3	0	0	15	37	53	1	0	0	40	4	11
1707261257	0	4	3	0	0	13	37	51	1	0	0	40	4	11
1707261315	0	3	2	0	0	13	36	51	0	0	0	40	4	11
1707261354	0	2	2	0	0	13	36	51	0	0	0	40	4	11
1707261538	0	0	0	0	0	0	19	30	0	0	0	30	4	11
