date	PLEN4131_24877	PLEN4203_26134
1707240824	10	10
1707240905	10	10
1707240930	10	10
1707240941	10	10
1707241000	10	10
1707241012	10	10
1707241023	10	10
1707241039	10	10
1707241047	10	10
1707241055	10	10
1707241129	10	10
1707241147	10	10
1707241221	10	10
1707241307	10	10
1707241415	10	10
1707241512	10	10
1707241556	10	10
1707241623	10	10
1707241717	10	10
1707241814	10	10
1707241848	10	10
1707242034	10	10
1707242132	10	10
1707242210	10	10
1707242307	10	10
1707242329	10	10
1707242343	10	10
1707250748	10	10
1707251027	10	10
1707251309	10	10
1707251351	10	10
1707251441	10	10
1707251521	10	10
1707251605	10	10
1707251658	10	10
1707251727	10	10
1707251900	10	10
1707251927	10	10
1707252025	10	10
1707252100	10	10
1707252124	10	10
1707252143	10	10
1707252259	10	10
1707252332	10	10
1707260820	10	10
1707261009	10	10
1707261047	10	10
1707261116	10	10
1707261144	10	10
1707261213	10	10
1707261257	10	10
1707261315	10	10
1707261354	10	10
1707261538	10	10
1707261603	10	10
1707261646	10	10
1707261709	10	10
1707261733	10	10
1707261807	10	10
1707261822	10	10
1707261842	10	10
1707261903	10	10
1707261944	10	10
1707262004	10	10
1707262107	10	10
1707262125	10	10
1707262142	10	10
1707262337	10	10
1707270001	10	10
1707270737	10	10
1707270816	10	10
1707270840	10	10
1707270903	10	10
1707271009	10	10
1707271027	10	10
1707271053	10	10
1707271136	10	10
1707271218	10	10
1707271250	10	10
1707271309	10	10
1707271338	10	10
1707271422	10	10
1707271448	10	10
1707271510	10	10
1707271544	10	10
1707271643	10	10
1707271704	10	10
1707271720	10	10
1707271802	10	10
1707272002	10	10
1707272150	10	10
1707272237	10	10
1707281100	10	10
1707281233	10	10
1707281457	10	10
1707281621	10	10
1707281911	10	10
