date	PSCL4101_27210	PSCL4103_27211	PSCL4105_13274	PSCL4106_11516	PSCL4108_11517	PSCL4109_11357	PSCL4110_11358	PSCL4112_12751	PSCL4206_28593	PSCL4400_21124
1707240824	25	25	10	10	8	15	10	10	25	10
1707240905	25	25	10	10	8	15	10	10	25	10
1707240930	25	25	10	10	8	15	10	10	25	10
1707240941	25	25	10	10	8	15	10	10	25	10
1707241000	25	25	10	10	8	15	10	10	25	10
1707241012	25	25	10	10	8	15	10	10	25	10
1707241023	25	25	10	10	8	15	10	10	25	10
1707241039	22	25	7	10	8	12	10	10	24	10
1707241047	22	25	7	10	8	12	10	10	24	10
1707241055	22	25	7	10	8	12	10	10	24	10
1707241129	22	25	7	10	8	12	10	10	24	10
1707241147	19	23	6	8	6	11	8	8	22	9
1707241221	19	22	6	8	5	11	8	7	22	8
1707241307	19	22	6	8	5	11	8	7	22	8
1707241415	17	20	6	7	4	11	7	6	21	7
1707241512	17	20	6	7	4	11	7	6	20	7
1707241556	17	20	6	7	3	11	7	5	20	6
1707241623	15	19	6	6	3	11	6	5	20	6
1707241717	15	19	6	6	3	11	6	5	20	6
1707241814	15	19	6	6	3	11	6	5	20	6
1707241848	15	19	6	6	3	11	6	5	20	6
1707242034	15	19	6	6	3	11	6	5	20	6
1707242132	15	19	6	6	3	11	6	5	20	6
1707242210	14	19	5	6	3	10	6	5	20	6
1707242307	14	19	5	6	3	10	6	5	20	6
1707242329	14	19	5	6	3	10	6	5	20	6
1707242343	14	19	5	6	3	10	6	5	20	6
1707250748	14	19	5	6	3	10	6	5	20	6
1707251027	12	19	5	6	3	10	6	5	18	6
1707251309	10	19	5	6	3	10	6	5	18	6
1707251351	10	19	5	6	3	10	6	5	18	6
1707251441	10	19	5	6	3	10	6	5	18	6
1707251521	10	19	5	5	3	10	5	5	18	6
1707251605	10	19	5	5	3	10	5	5	18	6
1707251658	10	19	5	5	3	10	5	5	17	6
1707251727	10	19	5	5	3	10	5	5	17	6
1707251900	10	19	5	5	3	10	5	5	17	6
1707251927	10	19	5	5	3	10	5	5	17	6
1707252025	10	19	5	5	3	10	5	5	17	6
1707252100	10	19	5	5	3	10	5	5	17	6
1707252124	10	19	5	5	3	10	5	5	17	6
1707252143	10	19	5	5	3	10	5	5	17	6
1707252259	10	19	5	5	3	10	5	5	17	6
1707252332	10	19	5	5	3	10	5	5	17	6
1707260820	10	19	5	5	3	10	5	5	18	6
1707261009	10	19	5	5	3	10	5	5	18	6
1707261047	10	19	5	5	3	10	5	5	18	6
1707261116	10	19	5	5	3	10	5	5	18	6
1707261144	10	19	5	5	3	10	5	5	18	6
1707261213	10	19	5	5	3	10	5	5	18	6
1707261257	10	19	5	5	3	10	5	5	18	6
1707261315	10	19	5	5	3	10	5	5	18	6
1707261354	10	19	5	5	3	10	5	5	16	6
1707261538	10	19	5	5	3	10	5	5	10	6
1707261603	10	19	5	5	3	10	5	5	10	6
1707261646	10	19	5	5	3	10	5	5	10	6
1707261709	10	19	5	5	3	10	5	5	10	6
1707261733	10	19	5	5	3	10	5	5	10	6
1707261807	10	19	5	5	3	10	5	5	10	6
1707261822	10	19	5	5	3	10	5	5	10	6
1707261842	10	19	5	5	3	10	5	5	10	6
1707261903	10	19	5	5	3	10	5	5	10	6
1707261944	10	19	5	5	3	10	5	5	10	6
1707262004	10	19	5	5	3	10	5	5	10	6
1707262107	10	19	5	5	3	10	5	5	10	6
1707262125	10	19	5	5	3	10	5	5	10	6
1707262142	10	19	5	5	3	10	5	5	10	6
1707262337	10	19	5	5	3	10	5	5	10	6
1707270001	10	19	5	5	3	10	5	5	10	6
1707270737	10	19	5	5	3	10	5	5	10	6
1707270816	10	19	5	5	3	10	5	5	10	6
1707270840	10	19	5	5	3	10	5	5	10	6
1707270903	10	19	5	5	3	10	5	5	10	6
1707271009	10	19	5	5	3	10	5	5	10	6
1707271027	10	19	5	5	3	10	5	5	10	6
1707271053	10	19	5	5	3	10	5	5	10	6
1707271136	10	19	5	5	3	10	5	5	10	6
1707271218	10	19	5	5	3	10	5	5	10	6
1707271250	10	19	5	5	3	10	5	5	10	6
1707271309	10	19	5	5	3	10	5	5	10	6
1707271338	10	19	5	5	3	10	5	5	10	6
1707271422	10	19	5	5	3	10	5	5	10	6
1707271448	10	19	5	5	3	10	5	5	10	6
1707271510	10	19	5	5	3	10	5	5	10	6
1707271544	10	19	5	5	3	10	5	5	10	6
1707271643	10	19	5	5	3	10	5	5	10	6
1707271704	10	19	5	5	3	10	5	5	10	6
1707271720	10	19	5	5	3	10	5	5	10	6
1707271802	10	19	5	5	3	10	5	5	10	6
1707272002	10	19	5	5	3	10	5	5	10	6
1707272150	10	19	5	5	3	10	5	5	10	6
1707272237	10	19	5	5	3	10	5	5	10	6
1707281100	10	19	5	5	3	10	5	5	10	6
1707281233	10	19	5	5	3	10	5	5	10	6
1707281457	10	19	5	5	3	10	5	5	10	6
1707281621	10	19	5	5	3	10	5	5	10	6
1707281911	10	19	5	5	3	10	5	5	10	6
