date	PSIC1016_24884	PSIC1018_27214	PSIC1019_24886	PSIC1020_27215	PSIC1021_27216	PSIC1022_24889	PSIC1024_24891	PSIC1025_27217	PSIC1026_27218	PSIC1027_27219	PSIC1030_27221	PSIC1110B_27222	PSIC1129B_27224	PSIC1130B_27225	PSIC1204_10438	PSIC1204_18771	PSIC1205_10439	PSIC1205_23328	PSIC1402_20993	PSIC1402_20995	PSIC1403_15098	PSIC2312_19697	PSIC2313_19698	PSIC2315_27226	PSIC2316_24902	PSIC2318_18186	PSIC2503_14103	PSIC2504_13262	PSIC2504_28344	PSIC2600_23329	PSIC2600_23330	PSIC2601_13263	PSIC2601_28347	PSIC2602_23331	PSIC2602_25788	PSIC2706_11420	PSIC2706_13336	PSIC2707_13264	PSIC2707_14071	PSIC2708_14070	PSIC3600_13445	PSIC3705_10442	PSIC3706_10440	PSIC3707_12069	PSIC3708_15154	PSIC3800_11540	PSIC3801_10649	PSIC3811_10650	PSIC3812_10651	PSIC3814_15093	PSIC3815_13700	PSIC3818_28592	PSIC3820_27227	PSIC3833_24905	PSIC3891_27228	PSIC3899_28591	PSIC3915_24916	PSIC3916_24917	PSIC3925_27230	PSIC3930_27232	PSIC3932_27233	PSIC3939_27234	PSIC3940_27235	PSIC3941_27236	PSIC3952_28590	PSIC3961_11077	PSIC3962_10441	PSIC4100_10170	PSIC4106_10171	PSIC4107_16001	PSIC4108_10355	PSIC4237_28727	PSIC4707_28728	PSIC4890_14124	PSIC4891_22376	PSIC6400_11189	PSIC6970_12070	PSIC6980_12071	PSIC6981_12072	PSIC6990_12566	PSIC6991_14110	PSIC6992_13693	PSIC6997_28544
1707240824	5	5	5	0	5	5	5	5	5	5	0	77	77	76	37	37	45	45	79	78	67	80	80	80	80	80	80	50	50	40	40	36	37	40	40	40	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	15	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707240905	5	5	5	0	5	5	5	5	5	5	0	75	77	76	37	37	45	45	67	73	50	80	80	80	80	80	80	50	50	40	40	36	37	40	40	40	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	15	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707240930	5	5	5	0	5	5	5	5	5	5	0	75	77	74	37	37	45	45	65	73	49	80	80	80	80	80	80	50	50	40	40	36	37	40	40	40	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	15	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707240941	5	5	5	0	5	5	5	5	5	5	0	75	77	74	37	37	45	45	61	70	42	80	80	80	80	80	80	50	50	40	40	36	37	40	40	40	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	15	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707241000	5	5	5	0	5	5	5	5	5	5	0	75	77	73	37	37	45	45	60	70	41	80	80	80	80	80	80	50	50	40	40	36	37	40	40	40	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	15	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707241012	5	5	5	0	5	5	5	5	5	5	0	75	77	73	37	37	45	45	50	70	33	80	80	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	15	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707241023	5	5	5	0	5	5	5	5	5	5	0	75	77	73	37	37	45	45	49	68	32	80	80	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	15	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707241039	5	5	5	0	5	5	5	5	5	5	0	74	77	73	37	37	45	45	47	68	30	80	80	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	14	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707241047	5	5	5	0	5	5	5	5	5	5	0	74	77	73	37	37	45	45	47	68	30	80	80	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	14	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707241055	5	5	5	0	5	5	5	5	5	5	0	74	77	73	37	37	45	45	47	68	30	80	80	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	25	25	25	25	25	25	20	24	80	80	14	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707241129	5	5	5	0	5	5	5	5	5	5	0	74	77	73	37	36	45	45	47	66	30	80	80	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	24	25	25	24	25	25	20	23	79	80	13	9	9	10	0	0	10	10	10	8	10	15	15	10	15	1
1707241147	5	5	5	0	5	5	5	5	5	5	0	74	77	72	37	36	45	45	47	66	30	80	80	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	24	25	25	24	25	25	20	23	79	80	13	9	6	9	0	0	9	9	10	8	10	15	15	10	15	1
1707241221	5	5	5	0	5	5	5	5	5	5	0	74	77	72	37	36	45	45	47	66	30	80	80	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	24	25	25	24	25	25	20	23	79	80	13	9	6	9	0	0	7	9	10	8	10	15	15	10	15	1
1707241307	5	5	5	0	5	5	5	5	5	5	0	74	77	72	37	36	45	45	47	65	29	80	80	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	24	25	25	24	25	25	20	23	79	80	13	9	5	9	0	0	7	9	10	8	10	15	15	10	15	1
1707241415	5	5	5	0	5	5	5	5	5	5	0	73	77	72	37	36	45	45	46	64	28	80	79	80	80	80	80	50	50	40	40	36	37	40	40	39	40	38	38	40	20	50	20	25	15	70	80	65	65	50	50	24	25	25	25	24	25	24	25	25	24	25	25	20	23	79	80	13	8	5	7	0	0	5	8	10	8	10	15	15	10	15	1
1707241512	5	5	4	0	5	5	4	5	5	5	0	70	77	70	37	35	43	44	46	64	28	79	76	76	77	79	79	46	50	40	38	36	37	36	38	39	40	37	35	39	20	50	20	25	15	68	79	65	65	50	50	23	25	25	25	23	24	24	25	25	23	25	24	20	22	76	77	13	8	4	7	0	0	4	8	9	6	10	11	13	10	15	1
1707241556	5	5	4	0	5	5	4	5	4	5	0	70	77	69	37	35	43	44	46	63	28	79	76	76	76	79	78	46	49	40	38	36	37	35	38	38	40	37	35	39	20	49	19	25	15	67	75	63	61	50	50	23	24	25	25	23	24	24	25	25	23	25	24	19	22	75	77	13	7	3	7	0	0	3	8	5	5	10	7	11	10	15	1
1707241623	5	5	4	0	5	5	4	4	4	5	0	69	77	69	37	35	41	44	46	63	28	79	76	76	75	79	78	46	49	39	38	35	37	33	38	38	40	37	35	39	19	49	17	25	15	64	70	60	59	48	48	21	24	25	25	22	22	23	24	25	21	24	24	17	22	73	76	13	7	3	7	0	0	3	7	5	5	10	7	11	10	15	1
1707241717	5	5	4	0	5	5	4	3	4	5	0	67	76	69	37	35	41	43	45	64	28	78	75	74	73	77	74	44	49	39	37	35	36	31	36	38	40	37	35	38	19	48	15	25	15	59	66	59	56	48	48	18	21	25	24	22	22	22	23	24	19	24	24	16	22	69	73	13	7	3	7	0	0	2	7	4	5	10	6	11	10	14	1
1707241814	5	5	4	0	5	5	4	3	4	5	0	67	76	69	37	35	41	43	45	64	28	78	75	74	73	77	74	44	49	39	37	35	36	31	36	38	40	37	35	38	18	48	15	25	15	59	65	58	55	48	48	18	21	25	24	22	22	22	23	24	19	24	24	16	22	68	73	13	7	3	7	0	0	2	7	4	5	10	6	11	10	14	1
