date	QUIM0000_20852	QUIM1000_10853	QUIM1001A_10826	QUIM1001A_10848	QUIM1004A_10997	QUIM1004A_11037	QUIM1100_19111	QUIM1101_10001	QUIM1102_10558	QUIM1102_13086	QUIM1103_10699	QUIM1103_10700	QUIM1103_10796	QUIM1103_11086	QUIM1103_11235	QUIM1103_11477	QUIM1103_11955	QUIM1103_12352	QUIM1103_12988	QUIM1103_20723	QUIM1103C_12356	QUIM1103C_12357	QUIM1103C_12360	QUIM1103C_12362	QUIM1103C_12364	QUIM1103C_12365	QUIM1103C_12366	QUIM1103C_12367	QUIM1103C_12368	QUIM1103C_12370	QUIM1103C_12371	QUIM1103C_12372	QUIM1103C_12374	QUIM1103C_12375	QUIM1103C_12376	QUIM1103C_12378	QUIM1103C_12380	QUIM1103C_12381	QUIM1103C_12382	QUIM1103C_12383	QUIM1103C_12384	QUIM1103C_12989	QUIM1103C_12990	QUIM1103C_18476	QUIM1103C_20776	QUIM1103C_20778	QUIM1103C_22805	QUIM1103C_25829	QUIM1104_10399	QUIM1104_10400	QUIM1104_10401	QUIM1104_10402	QUIM1104_10403	QUIM1104_10404	QUIM1104_10405	QUIM1104_10454	QUIM1104_10456	QUIM1104_10458	QUIM1104_10801	QUIM1104_10802	QUIM1104_10849	QUIM1104_10850	QUIM1104_11058	QUIM1104_11087	QUIM1104_11278	QUIM1104_11279	QUIM1104_11288	QUIM1104_11480	QUIM1104_11481	QUIM1104_11938	QUIM1104_11939	QUIM1104_11956	QUIM1104_12185	QUIM1104_12193	QUIM1104_12203	QUIM1104_12995	QUIM1104_12996	QUIM1104_13005	QUIM1104_13014	QUIM1104_13733	QUIM1104_14126	QUIM1105_10460	QUIM1105_23592	QUIM1105C_12315	QUIM1105C_12386	QUIM1105C_12388	QUIM1105C_14094	QUIM1105C_23582	QUIM1106_10462	QUIM1106_10463	QUIM1106_10464	QUIM1106_13734	QUIM1106_17110	QUIM1106_23578	QUIM1106_23597	QUIM1110_10827	QUIM1111_12261	QUIM1111_17112	QUIM1210_27238	QUIM1213_27239	QUIM1213_28101	QUIM1301_13500	QUIM1301C_12391	QUIM1301C_12392	QUIM1301C_23593	QUIM1302_10169	QUIM1302_10589	QUIM1302_10641	QUIM1302_12187	QUIM1302_18479	QUIM1303_10642	QUIM1303C_12317	QUIM1303C_12393	QUIM1303C_23615	QUIM1304_10515	QUIM1304_10762	QUIM1304_13987	QUIM1311_27240	QUIM1311_28100	QUIM1512_27241	QUIM1513_27242	QUIM1513_28096	QUIM1618_10851	QUIM1618_26113	QUIM1618C_12318	QUIM1618C_12394	QUIM1618C_12395	QUIM1618C_12396	QUIM1618C_23581	QUIM1618C_28095	QUIM1619_10559	QUIM1619_10643	QUIM1619_10763	QUIM1619_11012	QUIM1619_19034	QUIM1619_23579	QUIM1619_23580	QUIM2312_27243	QUIM2518_12262	QUIM2518C_12319	QUIM2518C_12402	QUIM2519_10645	QUIM2519_10646	QUIM2519_28664	QUIM2620_27244	QUIM2621_27245	QUIM2621_28098	QUIM2624_27246	QUIM2625_27247	QUIM2626_27248	QUIM3012_27249	QUIM3014_12983	QUIM3213_28709	QUIM3214_27250	QUIM3313_28708	QUIM3315_27251	QUIM3401_27252	QUIM3402_10780	QUIM3514_27254	QUIM3900_10800	QUIM3991_25971	QUIM3992_25972	QUIM3997_23424	QUIM4013_25969	QUIM4100_12263	QUIM4150_11360	QUIM4165_12073	QUIM4213_28588	QUIM4230_28231	QUIM4313_28587	QUIM4513_28589	QUIM4900_11518	QUIM4950_12074	QUIM6961_14142	QUIM6970_12320	QUIM6971_13474	QUIM6975_12464	QUIM6981_12321	QUIM6982_12322	QUIM6983_13475	QUIM6984_13894	QUIM6985_18932	QUIM6986_21206	QUIM6987_22404	QUIM6988_24943	QUIM6989_27258	QUIM6990_16874	QUIM6997_24944
1707240824	30	40	46	45	46	46	0	79	23	24	56	79	80	58	44	52	79	76	69	78	27	31	25	24	28	26	26	26	23	23	27	14	27	25	20	31	25	25	29	22	23	27	21	25	29	25	25	25	24	23	23	21	19	0	23	21	23	20	22	24	20	19	0	25	22	23	0	19	24	0	21	22	24	24	20	24	24	23	0	0	24	80	0	30	30	30	30	29	20	20	20	20	20	0	0	40	24	0	50	24	0	90	30	30	30	22	22	24	24	24	72	30	30	30	24	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707240905	29	38	44	41	45	46	0	79	23	24	48	78	76	47	23	26	72	74	59	74	27	27	24	24	25	25	26	19	21	19	24	0	16	21	9	30	25	21	28	21	23	26	16	19	27	23	23	21	18	22	22	20	16	0	22	17	23	16	20	20	14	4	0	24	21	17	0	6	20	0	19	18	23	22	13	23	21	22	0	0	23	80	0	30	30	30	30	29	20	20	20	20	20	0	0	38	22	0	50	24	0	89	30	29	30	21	22	24	24	24	72	30	30	30	24	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707240930	29	38	44	42	45	45	0	78	22	24	44	77	73	42	12	18	70	73	54	72	26	25	24	24	25	22	26	16	20	12	20	0	11	21	6	30	25	20	28	19	24	24	14	17	25	23	22	20	17	22	19	17	13	0	18	14	24	16	17	19	11	2	0	24	21	15	0	5	19	0	18	12	23	21	12	23	20	20	0	0	23	80	0	30	30	30	30	29	20	20	20	20	20	0	0	38	22	0	50	24	0	89	30	29	30	21	22	24	24	24	72	30	30	30	24	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707240941	27	37	44	42	45	45	0	77	21	24	43	76	71	39	6	7	66	73	47	68	26	25	22	24	25	20	26	14	19	8	18	0	6	21	0	29	25	19	28	19	24	23	9	14	21	23	22	19	16	22	18	15	10	0	17	13	23	13	13	17	7	0	0	23	20	13	0	2	18	0	18	10	23	20	12	23	20	18	0	0	23	80	0	30	30	30	30	29	20	20	20	20	20	0	0	36	21	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241000	26	36	44	41	44	45	0	76	21	23	42	75	71	34	4	1	63	71	43	69	26	24	21	24	25	20	26	9	18	9	15	0	1	20	0	28	25	18	27	19	23	22	7	12	22	23	22	19	16	21	16	15	9	0	16	12	23	11	12	17	6	0	0	22	19	10	0	0	18	0	18	7	23	18	11	23	20	17	0	0	23	80	0	30	30	30	30	29	20	20	20	20	20	0	0	35	20	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241012	26	35	43	41	44	45	0	75	20	23	42	73	71	29	0	0	61	70	39	66	26	24	19	24	25	20	26	5	18	8	12	0	0	20	0	27	24	18	26	19	23	21	4	12	20	22	22	19	16	21	13	14	9	0	15	11	23	10	11	17	4	0	0	21	18	9	0	0	19	0	17	4	22	19	8	23	20	15	0	0	23	80	0	30	30	30	30	29	20	20	20	20	20	0	0	35	19	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241023	25	34	43	41	44	45	0	75	20	23	38	70	70	25	0	0	59	67	35	62	26	23	18	24	25	20	25	0	19	8	12	0	0	20	0	26	23	17	24	18	23	19	3	12	17	21	22	16	14	20	13	14	8	0	14	10	22	7	11	13	0	0	0	21	18	9	0	0	20	0	16	5	22	19	6	23	19	13	0	0	22	80	0	30	30	30	30	29	20	20	20	20	20	0	0	34	18	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241039	26	34	43	38	44	45	0	75	20	23	34	70	69	24	0	1	50	59	25	60	25	21	18	24	25	19	25	0	18	8	12	0	0	21	0	22	23	19	23	18	16	10	0	7	15	21	22	15	10	18	10	13	5	0	14	9	22	4	10	13	0	0	0	20	17	5	0	0	17	0	15	3	22	19	5	23	17	12	0	0	22	80	0	30	30	30	30	29	20	20	20	20	20	0	0	34	18	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241047	26	34	43	38	44	45	0	75	20	23	33	69	69	25	0	0	49	55	24	60	24	21	17	24	24	20	25	1	18	8	12	0	0	20	0	21	23	19	22	17	14	9	0	7	15	21	22	15	10	18	10	13	4	0	14	10	22	2	8	12	0	0	0	20	17	5	0	0	17	0	15	3	22	19	5	23	16	11	0	0	22	80	0	30	30	30	30	29	20	20	20	20	20	0	0	34	18	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241055	26	34	43	38	44	45	0	74	19	23	30	69	67	24	0	0	49	56	20	55	22	20	17	24	24	19	24	1	17	8	12	0	0	20	0	20	23	18	22	17	15	6	0	8	12	19	22	15	10	18	9	12	5	0	14	9	22	1	10	10	0	0	22	19	18	2	0	0	13	0	14	3	22	18	3	23	15	11	0	0	22	80	0	30	30	30	30	29	20	20	20	20	20	0	0	34	18	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
