date	RJUR5582_27289	RJUR5600_27288	RJUR5601_27287
1707240824	55	55	30
1707240905	55	55	30
1707240930	55	55	30
1707240941	55	55	30
1707241000	55	55	30
1707241012	55	55	30
1707241023	55	55	30
1707241039	55	55	30
1707241047	55	55	30
1707241055	55	55	30
1707241129	55	55	30
1707241147	55	55	30
1707241221	55	55	30
1707241307	55	55	30
1707241415	55	55	30
1707241512	55	55	30
1707241556	55	55	30
1707241623	55	55	30
1707241717	55	55	30
1707241814	55	55	30
1707241848	55	55	30
1707242034	55	55	30
1707242132	55	55	30
1707242210	55	55	30
1707242307	55	55	30
1707242329	55	55	30
1707242343	55	55	30
1707250748	55	55	30
1707251027	55	55	30
1707251309	55	55	30
1707251351	55	55	30
1707251441	55	55	30
1707251521	41	49	22
1707251605	16	29	17
1707251658	8	24	14
1707251727	8	24	14
1707251900	8	24	14
1707251927	8	24	14
1707252025	8	24	14
1707252100	8	24	14
1707252124	8	24	14
1707252143	8	24	14
1707252259	8	24	14
1707252332	8	24	14
1707260820	8	24	14
1707261009	8	24	14
1707261047	8	24	14
1707261116	8	24	14
1707261144	8	24	14
1707261213	8	24	14
1707261257	8	24	14
1707261315	8	24	14
1707261354	8	24	14
1707261538	8	24	14
1707261603	8	24	14
1707261646	8	24	14
1707261709	8	24	14
1707261733	8	24	14
1707261807	8	24	14
1707261822	8	24	14
1707261842	8	24	14
1707261903	8	24	14
1707261944	8	24	14
1707262004	8	24	14
1707262107	8	24	14
1707262125	8	24	14
1707262142	8	24	14
1707262337	8	24	14
1707270001	8	24	14
1707270737	8	24	14
1707270816	8	24	14
1707270840	8	24	14
1707270903	8	24	14
1707271009	8	24	14
1707271027	8	24	14
1707271053	8	24	14
1707271136	8	23	15
1707271218	8	23	15
1707271250	8	23	15
1707271309	8	23	15
1707271338	8	23	15
1707271422	8	23	15
1707271448	8	23	15
1707271510	8	23	15
1707271544	8	23	15
1707271643	8	23	15
1707271704	8	23	15
1707271720	8	23	15
1707271802	8	23	15
1707272002	8	23	15
1707272150	8	23	15
1707272237	8	23	15
1707281100	8	23	15
1707281233	8	23	15
1707281457	8	23	15
1707281621	8	23	15
1707281911	0	0	0
