date	SPUB4106_16241	SPUB4107_28286	SPUB4109_16244	SPUB4111_28562	SPUB4112_28287	SPUB4506_28314
1707240824	40	46	30	45	60	60
1707240905	40	46	30	45	60	60
1707240930	40	46	30	45	60	60
1707240941	40	46	30	45	60	60
1707241000	40	46	30	45	60	60
1707241012	40	46	30	45	60	60
1707241023	40	46	30	45	60	60
1707241039	40	46	30	45	60	60
1707241047	40	46	30	45	60	60
1707241055	40	44	30	45	58	60
1707241129	40	43	30	45	57	59
1707241147	37	38	30	44	54	58
1707241221	35	37	30	44	53	57
1707241307	34	34	30	43	52	55
1707241415	31	30	29	40	50	55
1707241512	30	27	26	38	48	55
1707241556	30	25	26	36	48	53
1707241623	30	25	26	36	48	53
1707241717	29	25	26	36	47	55
1707241814	29	25	26	36	47	55
1707241848	29	25	26	36	47	55
1707242034	29	24	26	36	46	55
1707242132	28	23	25	35	45	53
1707242210	28	23	25	35	45	53
1707242307	27	20	24	35	42	53
1707242329	27	20	24	35	42	53
1707242343	27	20	24	35	42	53
1707250748	27	20	24	35	41	53
1707251027	27	18	24	35	41	53
1707251309	28	16	23	34	40	53
1707251351	28	16	23	34	40	53
1707251441	28	16	22	34	39	53
1707251521	28	16	22	33	39	53
1707251605	28	16	22	33	39	53
1707251658	28	16	22	33	39	53
1707251727	28	16	22	33	39	53
1707251900	28	14	22	32	38	53
1707251927	28	14	22	32	38	53
1707252025	28	14	22	31	37	53
1707252100	28	12	22	32	36	52
1707252124	28	12	22	31	36	53
1707252143	28	12	23	31	36	53
1707252259	28	12	23	30	36	53
1707252332	28	12	23	30	36	53
1707260820	28	12	23	30	36	53
1707261009	28	12	23	29	36	53
1707261047	28	12	23	29	36	53
1707261116	28	12	23	29	36	53
1707261144	27	12	23	29	36	53
1707261213	27	12	23	29	36	53
1707261257	27	12	23	29	36	53
1707261315	27	12	23	29	36	53
1707261354	27	12	23	29	36	53
1707261538	26	11	23	29	36	51
1707261603	26	11	23	29	36	51
1707261646	26	11	23	29	36	51
1707261709	26	11	23	29	36	51
1707261733	26	11	23	29	36	51
1707261807	26	11	22	29	36	50
1707261822	26	11	22	29	36	50
1707261842	26	11	22	29	36	50
1707261903	25	11	22	28	36	50
1707261944	25	9	21	28	36	49
1707262004	24	9	21	28	36	49
1707262107	24	9	21	28	36	49
1707262125	24	9	21	28	36	49
1707262142	24	9	21	28	36	49
1707262337	23	9	20	28	36	48
1707270001	23	9	20	28	36	48
1707270737	23	9	20	29	36	48
1707270816	23	9	20	29	36	48
1707270840	23	9	20	29	36	48
1707270903	23	9	20	29	36	48
1707271009	23	9	20	29	36	47
1707271027	23	9	20	29	36	47
1707271053	23	9	20	29	36	47
1707271136	23	9	20	28	36	47
1707271218	23	9	20	29	36	47
1707271250	23	9	20	29	36	47
1707271309	23	9	20	29	36	47
1707271338	23	9	20	29	36	47
1707271422	23	9	20	29	36	47
1707271448	23	9	20	29	36	46
1707271510	23	9	20	28	36	46
1707271544	23	9	20	27	36	46
1707271643	23	9	20	28	36	46
1707271704	23	9	19	28	36	46
1707271720	23	9	19	28	36	46
1707271802	23	9	19	28	36	46
1707272002	23	9	19	28	36	46
1707272150	23	9	19	28	36	46
1707272237	23	9	19	28	36	46
1707281100	23	9	19	28	36	46
1707281233	23	9	19	28	36	46
1707281457	23	9	19	28	36	46
1707281621	23	9	19	28	36	46
1707281911	0	0	0	0	0	0
