date	STRA5401_22764	STRA5404_27267	STRA5410_24958	STRA5412_27268	STRA5414_27269	STRA5425_27270	STRA5428_24963
1707240824	35	40	40	40	40	40	40
1707240905	35	40	40	40	40	40	40
1707240930	35	40	40	40	40	40	40
1707240941	35	40	40	40	40	40	40
1707241000	35	40	40	40	40	40	40
1707241012	35	40	40	40	40	40	40
1707241023	35	40	40	40	40	40	40
1707241039	35	40	40	40	40	40	40
1707241047	35	40	39	40	39	39	39
1707241055	35	40	39	40	39	39	38
1707241129	35	40	36	40	36	36	36
1707241147	35	40	36	40	36	36	36
1707241221	35	39	35	39	34	34	35
1707241307	35	39	35	39	34	34	35
1707241415	35	39	35	39	34	34	35
1707241512	34	36	34	36	30	30	34
1707241556	34	35	34	35	29	29	34
1707241623	34	35	34	35	29	29	34
1707241717	34	35	34	35	29	29	34
1707241814	34	35	34	35	29	29	34
1707241848	34	35	34	35	29	29	34
1707242034	33	32	34	32	26	26	34
1707242132	33	32	34	32	26	26	34
1707242210	33	32	34	32	26	26	34
1707242307	33	32	33	32	25	25	33
1707242329	33	32	33	32	25	25	33
1707242343	32	32	33	32	25	25	33
1707250748	32	32	33	32	25	25	33
1707251027	32	31	33	31	24	24	33
1707251309	32	31	33	31	24	24	33
1707251351	32	31	33	31	24	24	33
1707251441	32	31	33	31	24	24	33
1707251521	32	31	33	31	24	24	33
1707251605	32	31	33	31	24	24	33
1707251658	32	31	32	31	23	23	32
1707251727	32	31	32	31	23	23	32
1707251900	32	31	32	31	23	23	32
1707251927	32	31	32	31	23	23	32
1707252025	31	31	32	31	23	23	32
1707252100	31	31	32	31	23	23	32
1707252124	31	31	32	31	23	23	32
1707252143	31	31	32	31	23	23	32
1707252259	31	31	32	31	23	23	32
1707252332	31	31	32	31	23	23	32
1707260820	31	30	32	30	22	22	32
1707261009	31	29	32	29	21	21	32
1707261047	31	29	32	29	21	21	32
1707261116	31	29	32	29	21	21	32
1707261144	31	29	32	29	21	21	32
1707261213	31	29	32	29	21	21	32
1707261257	31	29	32	29	21	21	32
1707261315	31	29	32	29	21	21	32
1707261354	31	29	32	29	21	21	32
1707261538	31	28	32	28	20	20	32
1707261603	31	28	32	28	20	20	32
1707261646	31	28	32	28	20	20	32
1707261709	31	28	32	28	20	20	32
1707261733	31	28	32	28	20	20	32
1707261807	31	28	32	28	20	20	32
1707261822	31	28	32	28	20	20	32
1707261842	31	28	32	28	20	20	32
1707261903	31	28	32	28	20	20	32
1707261944	31	28	32	28	20	20	32
1707262004	31	28	32	28	20	20	32
1707262107	31	28	32	28	20	20	32
1707262125	31	28	32	28	20	20	32
1707262142	31	28	32	28	20	20	32
1707262337	31	28	32	28	20	20	32
1707270001	31	28	32	28	20	20	32
1707270737	31	28	32	28	20	20	32
1707270816	31	28	32	28	20	20	32
1707270840	31	28	32	28	20	20	32
1707270903	31	28	32	28	20	20	32
1707271009	31	27	32	27	19	19	32
1707271027	31	27	32	27	19	19	32
1707271053	31	27	32	27	19	19	32
1707271136	31	27	32	27	19	19	32
1707271218	31	27	32	27	19	19	32
1707271250	31	27	32	27	19	19	32
1707271309	31	27	32	27	19	19	32
1707271338	31	27	32	27	19	19	32
1707271422	31	27	32	27	19	19	32
1707271448	31	27	32	27	19	19	32
1707271510	31	27	32	27	19	19	32
1707271544	31	27	32	27	19	19	32
1707271643	31	27	32	27	19	19	32
1707271704	31	27	32	27	19	19	32
1707271720	31	27	32	27	19	19	32
1707271802	31	27	32	27	19	19	32
1707272002	31	27	32	27	19	19	32
1707272150	31	27	32	27	19	19	32
1707272237	31	27	32	27	19	19	32
1707281100	31	25	31	25	16	16	31
1707281233	31	25	31	25	16	16	31
1707281457	31	25	31	25	16	16	31
1707281621	31	25	31	25	16	16	31
1707281911	0	0	0	0	0	0	0
