date	ARTI4102_13579	ARTI4103_12663	ARTI4106_13982	ARTI4108_23552	ARTI4201_26304	ARTI4202_26305	ARTI4203_12665	ARTI4204_13185	ARTI4205_13285	ARTI4301_13582	MBIT4101_16852	MBIT4101_20710	MBIT4102_19970	MBIT4102_22738	MBIT4103_17324	MBIT4201_13984	MBIT4201_16853	MBIT4202_13985	MBIT4204_27080	MBIT4206_19969	MBIT4209_27081	MBIT4210_17326	MBIT4301_17118	MBIT4304_24744	MSIN4102_27180	MSIN4201_27181	MSIN4202_27182	MSIN4203_24850	MSIN4301_14608	MINE4101_22182	MINE4102_22751	MINE4103_24819	MINE4201_24820	MINE4202_27157	MISO4101_14446	MISO4203_27158	MISO4204_14604	MISO4205_16210	MISO4206_24822	MISO4208_27975	MISO4301_16211	BCOM4001_27498	BCOM4004_27501	BCOM4006_27503	BCOM4105_27504	BCOM4980_16639	ISIS1001_10838	ISIS1001_16970	ISIS1001_27376	ISIS1002_24591	ISIS1104_11177	ISIS1104_11209	ISIS1104_18783	ISIS1104_22759	ISIS1104L_15032	ISIS1104L_15033	ISIS1104L_15034	ISIS1104L_15035	ISIS1104L_16783	ISIS1104L_20535	ISIS1104L_22761	ISIS1104L_22763	ISIS1105_12123	ISIS1105_27380	ISIS1106_11178	ISIS1106_18957	ISIS1106_27381	ISIS1204_10054	ISIS1204_10367	ISIS1204_10368	ISIS1204_10369	ISIS1204_10370	ISIS1204_10371	ISIS1204_10372	ISIS1204_10373	ISIS1204_10374	ISIS1204_10640	ISIS1204_11024	ISIS1204_11102	ISIS1204_11469	ISIS1204_11471	ISIS1204_11474	ISIS1204_12144	ISIS1204_12148	ISIS1204_12150	ISIS1204_12757	ISIS1204_13195	ISIS1204_13197	ISIS1204_13600	ISIS1204_13996	ISIS1204_14131	ISIS1204_16816	ISIS1204_20566	ISIS1204_20693	ISIS1204_22668	ISIS1204_25293	ISIS1204_25294	ISIS1204_25297	ISIS1204_25302	ISIS1204_25336	ISIS1204_27393	ISIS1204_27394	ISIS1204L_22669	ISIS1204L_22671	ISIS1204L_22676	ISIS1204L_22677	ISIS1204L_22678	ISIS1204L_22679	ISIS1204L_22680	ISIS1204L_22681	ISIS1204L_22682	ISIS1204L_22683	ISIS1204L_22684	ISIS1204L_22685	ISIS1204L_22686	ISIS1204L_22687	ISIS1204L_22688	ISIS1204L_22689	ISIS1204L_22690	ISIS1204L_22692	ISIS1204L_22693	ISIS1204L_22694	ISIS1204L_22696	ISIS1204L_22697	ISIS1204L_22698	ISIS1204L_22699	ISIS1204L_22700	ISIS1204L_22702	ISIS1204L_22704	ISIS1204L_22705	ISIS1204L_22706	ISIS1204L_25298	ISIS1204L_25299	ISIS1204L_25300	ISIS1204L_25301	ISIS1204L_25334	ISIS1204L_27395	ISIS1204L_27396	ISIS1205_10504	ISIS1205_10551	ISIS1205_11241	ISIS1205_12992	ISIS1205_12994	ISIS1205_16836	ISIS1205_20599	ISIS1205_26135	ISIS1205L_22710	ISIS1205L_22711	ISIS1205L_22712	ISIS1205L_22713	ISIS1205L_22714	ISIS1205L_22715	ISIS1205L_22716	ISIS1205L_26136	ISIS1206_10288	ISIS1206_10705	ISIS1206_18797	ISIS1206_26124	ISIS1206L_22717	ISIS1206L_22718	ISIS1206L_22719	ISIS1206L_26125	ISIS1207_14104	ISIS1207L_14374	ISIS1209_14772	ISIS1209L_14773	ISIS1211_15711	ISIS1304_11211	ISIS1304_19067	ISIS1304_26170	ISIS1404_12124	ISIS1404_12125	ISIS1404_12126	ISIS1404_13202	ISIS1404_13595	ISIS1404_14129	ISIS1404_15053	ISIS1404_15054	ISIS1404_15256	ISIS1404_16846	ISIS1404_16847	ISIS1404_18825	ISIS1404_20689	ISIS1404_20690	ISIS1404_25611	ISIS1404_27392	ISIS1602B_24592	ISIS1603B_11179	ISIS2007_11180	ISIS2007_27391	ISIS2008_11322	ISIS2203_25387	ISIS2203_25388	ISIS2203L_25389	ISIS2203L_25390	ISIS2304_25588	ISIS2304_25589	ISIS2304_27390	ISIS2403_11182	ISIS2403_25391	ISIS2503_11535	ISIS2503L_15050	ISIS2503L_25597	ISIS2603_11183	ISIS2603_25540	ISIS2603_27388	ISIS2603L_22765	ISIS2603L_22766	ISIS2603L_27389	ISIS2804_23563	ISIS3204_12515	ISIS3204L_22771	ISIS3204L_22775	ISIS3204L_22777	ISIS3204L_23484	ISIS3301_11073	ISIS3301_27499	ISIS3302_15047	ISIS3302_27486	ISIS3302L_21977	ISIS3302L_22772	ISIS3425_24596	ISIS3510_16808	ISIS3510_27382	ISIS3510L_22767	ISIS3510L_27383	ISIS3710_24597	ISIS4208_26925	ISIS4218_27271	ISIS4426_25199	ISIS4822_26926	ISIS4825_26927	ISIS4920_20758
201707240824	30	40	40	30	30	35	40	39	30	50	30	30	35	35	35	30	30	35	35	35	35	35	30	30	40	40	35	40	30	30	30	30	30	25	25	25	25	24	25	25	30	25	25	25	25	10	29	20	24	73	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	22	23	23	24	21	24	21	21	22	23	22	23	24	24	6	24	24	22	24	23	24	24	23	24	18	24	23	24	20	19	23	23	24	24	22	22	24	24	23	23	24	23	24	21	6	23	23	24	21	21	18	22	24	23	22	22	23	24	24	24	24	24	24	24	20	19	23	23	24	24	22	24	24	24	24	23	23	24	24	23	24	23	24	24	24	24	24	30	30	30	30	30	30	30	30	20	20	24	24	0	30	30	30	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	74	73	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	30	30	35	35	30	30
201707240905	30	40	40	30	30	35	40	39	30	50	30	30	35	35	35	30	30	35	35	35	35	35	30	30	40	40	35	40	30	30	30	30	30	25	25	25	25	24	25	25	30	25	25	25	25	10	28	6	17	51	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	16	21	21	23	19	21	9	19	21	21	19	21	24	23	0	24	20	14	24	21	24	24	19	24	13	24	21	23	12	10	23	22	23	23	16	16	24	23	21	21	24	21	23	19	0	21	19	21	9	19	13	21	24	21	19	14	21	23	20	24	24	24	24	24	12	10	22	23	23	23	16	24	24	24	24	23	23	24	24	23	24	23	24	24	24	24	24	30	30	30	30	30	30	30	30	10	10	24	24	0	30	30	30	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	74	71	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	30	30	35	35	30	30
201707240930	30	40	40	30	30	35	40	39	30	50	30	30	35	35	35	30	30	35	35	35	35	35	30	30	40	40	35	40	30	30	30	30	30	25	25	25	25	24	25	25	30	25	25	25	25	10	27	0	12	39	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	14	21	20	20	18	21	7	16	20	19	17	22	23	23	0	24	19	14	23	20	24	24	17	24	11	24	20	23	12	9	22	22	23	21	14	14	23	23	20	21	24	20	20	18	0	20	17	21	7	16	11	20	23	21	17	14	19	23	19	24	24	24	24	24	12	9	22	22	23	21	14	24	24	24	24	23	23	24	24	23	24	23	24	24	24	24	24	30	30	30	30	30	30	30	30	9	9	24	24	0	30	30	30	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	72	70	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	30	30	35	35	30	30
201707240941	30	40	40	30	30	35	40	39	30	50	30	30	35	35	35	30	30	35	35	35	35	35	30	30	40	40	35	40	30	30	30	30	30	25	25	25	25	24	25	25	30	25	25	25	25	10	27	0	9	36	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	11	19	18	20	16	21	2	13	20	19	17	21	23	23	0	24	19	11	23	18	24	24	16	23	9	24	18	23	10	3	20	20	22	22	12	11	23	23	18	19	24	18	20	16	0	18	16	21	2	13	9	20	23	20	17	11	19	23	19	24	24	24	23	24	10	3	20	20	22	22	12	24	24	23	24	23	24	24	24	24	24	23	24	24	24	23	24	30	30	30	30	30	30	30	30	6	6	24	24	0	30	30	30	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	72	70	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	30	30	35	35	30	30
201707241000	30	40	40	30	30	35	40	39	30	50	30	30	35	35	35	30	30	35	35	35	35	35	30	30	40	40	35	40	30	30	30	30	30	25	25	25	25	24	25	25	30	25	25	25	25	10	27	0	5	32	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	11	17	12	20	16	21	1	13	19	19	17	21	23	22	0	23	19	10	23	18	24	23	14	23	10	24	18	22	10	3	20	20	22	21	10	11	23	22	18	17	23	12	20	16	0	18	14	21	1	13	10	19	23	20	17	10	19	22	19	24	24	23	23	24	10	3	20	20	22	21	10	24	24	23	24	23	24	24	24	24	24	23	24	24	24	23	24	30	30	30	30	30	30	30	30	6	6	24	24	0	30	30	30	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	71	70	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	30	30	35	35	30	30
201707241012	30	40	40	30	30	35	40	39	30	50	30	30	35	35	35	30	30	35	35	35	35	35	30	30	40	40	35	40	30	30	30	30	30	25	25	25	25	24	25	25	30	25	25	25	25	10	27	0	0	27	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	10	16	11	19	14	20	0	14	17	18	16	19	22	21	0	22	19	8	23	17	24	23	14	23	4	24	17	22	8	0	20	20	21	21	8	10	22	21	17	16	22	11	19	14	0	17	14	20	0	14	4	17	23	18	16	8	18	22	19	24	24	23	23	24	8	0	20	20	21	21	8	24	24	23	24	23	24	24	23	24	24	23	24	24	24	23	23	30	30	30	30	30	30	30	30	2	2	24	24	0	30	30	30	24	24	24	24	24	24	24	24	24	23	24	24	24	24	24	24	71	70	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	30	30	35	35	30	30
201707241023	30	40	40	30	30	35	40	39	30	50	30	30	35	35	35	30	30	35	35	35	35	35	30	30	40	40	35	40	30	30	30	30	30	25	25	25	25	24	25	25	30	25	25	25	25	10	22	0	0	22	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	10	16	10	18	12	19	0	12	17	16	15	19	22	21	0	19	19	7	23	16	24	22	14	23	0	23	17	21	8	0	20	17	20	20	7	10	22	21	16	16	19	10	18	12	0	17	14	19	0	12	0	17	23	18	15	7	16	21	19	24	24	22	23	23	8	0	17	20	20	20	7	24	24	23	24	23	24	24	23	24	24	23	24	24	24	23	23	30	30	30	30	30	30	30	30	2	2	24	24	0	30	30	30	24	24	24	24	24	24	24	24	24	23	24	24	24	24	24	24	71	70	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	30	30	35	35	30	30
201707241039	30	40	40	30	30	35	40	39	30	50	29	28	33	35	33	29	30	34	34	35	34	35	30	30	40	40	34	40	30	24	24	28	30	25	23	24	25	24	23	25	30	24	25	25	25	10	19	0	0	19	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	9	14	8	18	14	19	0	10	16	16	15	18	23	19	0	19	19	7	23	16	23	22	14	23	0	23	18	21	8	0	20	18	20	21	4	9	23	19	16	14	19	8	18	14	0	18	14	19	0	10	0	16	23	17	15	7	16	21	19	24	23	22	23	23	8	0	18	20	20	21	4	24	24	23	24	23	24	24	23	24	24	23	24	24	24	23	23	30	30	30	30	30	30	30	30	2	2	24	24	0	30	30	30	24	24	24	24	24	24	24	23	24	23	24	24	24	24	24	24	71	70	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	26	29	33	32	27	30
201707241047	27	39	40	30	30	35	40	33	30	50	29	28	32	35	33	29	30	34	33	35	34	34	30	30	40	40	34	40	30	23	24	28	30	25	23	23	25	24	23	25	30	21	25	24	25	10	18	0	0	18	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	9	14	8	18	14	19	0	9	16	16	14	18	22	18	0	18	17	8	23	15	24	22	14	23	0	23	17	21	8	0	20	18	20	21	4	9	22	18	15	14	18	8	18	14	0	17	14	19	0	9	0	16	23	17	14	8	16	21	17	24	24	22	23	23	8	0	18	20	20	21	4	24	24	23	24	23	24	24	23	24	24	23	24	24	24	23	23	30	30	30	30	30	30	30	30	2	2	24	24	0	30	30	30	24	24	24	24	24	24	24	23	24	23	24	24	24	24	24	24	70	70	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	26	29	33	32	27	30
201707241055	26	39	40	30	30	35	40	33	30	50	28	28	31	35	33	29	30	34	33	35	34	33	30	30	39	40	34	40	30	22	25	28	30	25	22	23	25	23	23	25	30	21	25	24	25	10	16	0	0	16	44	43	40	44	22	22	22	21	20	22	20	22	30	30	30	30	30	9	14	8	18	14	19	0	8	16	16	14	18	22	18	0	18	17	8	23	15	24	22	14	23	0	23	17	21	8	0	20	18	20	21	2	9	22	18	15	14	18	8	18	14	0	17	14	19	0	8	0	16	23	17	14	8	16	21	17	24	24	22	23	23	8	0	18	20	20	21	2	24	24	23	24	23	24	24	23	24	24	23	24	24	24	23	23	30	30	30	30	30	30	30	30	1	1	24	24	0	30	30	30	24	24	24	24	24	24	24	23	24	23	24	24	24	24	24	24	70	70	30	30	80	25	25	25	25	30	30	30	30	30	60	30	30	25	25	25	25	25	25	50	48	12	12	12	12	25	25	25	25	25	25	25	25	25	25	25	25	25	29	33	32	27	30
